Title,Writer,Cast
First They Killed My Father,"Loung Ung, Angelina Jolie","Sareum Srey Moch, Phoeung Kompheak, Sveng Socheata, Mun Kimhak, Heng Dara, Khoun Sothea, Sarun Nika, Run Malyna, Oun Srey Neang, Horm Chhora, Henry Kissinger, Richard Nixon, Sreyneath Reth, Tiger Reth, Mony Ros, Tharoth Sam, Nut Sophal, Lon Nol"
Julius Caesar,"William Shakespeare, Joseph L. Mankiewicz","Louis Calhern, Marlon Brando, James Mason, John Gielgud, Edmond O'Brien, Greer Garson, Deborah Kerr, George Macready, Michael Pate, Richard Hale, Alan Napier, John Hoyt, Tom Powers, William Cottrell, Jack Raine, Ian Wolfe, Morgan Farley, William Phipps"
Far from the Madding Crowd,"Thomas Hardy, Frederic Raphael","Julie Christie, Peter Finch, Alan Bates, Terence Stamp, Fiona Walker, Prunella Ransome, Alison Leggatt, Paul Dawkins, Julian Somers, John Barrett, Freddie Jones, Andrew Robertson, Brian Rawlinson, Vincent Harding, Victor Stone, Owen Berry, Lawrence Carter, Pauline Melville"
Maharshi,"Hari, Ahishor Solomon, Vamshi Paidipally","Mahesh Babu, Allari Naresh, Pooja Hegde, Jagapathi Babu, Prakash Raj, Jayasudha, Meenakshi Dixit, Vennela Kishore, Ananya, Sai Kumar, Kamal Kamaraju, Tanikella Bharani, Nassar, Rao Ramesh, Mukesh Rishi, Kaikala Satyanarayana, Kota Srinivasa Rao, Annapoorna"
Scarecrow,Garry Michael White,"Gene Hackman, Al Pacino, Dorothy Tristan, Ann Wedgeworth, Richard Lynch, Eileen Brennan, Penelope Allen, Richard Hackman, Al Cingolani, Rutanya Alda, Mary Ann Brownlee, Nicholas Carbone, Frank Chartier, James G. Cureman, Armen Darakdjian, June Denning, June Dixon, Richard Jamison"
Desk Set,"Phoebe Ephron, Henry Ephron, William Marchant","Spencer Tracy, Katharine Hepburn, Gig Young, Joan Blondell, Dina Merrill, Sue Randall, Neva Patterson, Harry Ellerbe, Nicholas Joy, Diane Jergens, Merry Anders, Ida Moore, Rachel Stephens, Pamela Curran, Bill Duray, Harry Evans, Jesslyn Fax, Richard Gardner"
Yamawatta,"David Kessler, Stephen Deuters, Andrew Levitas","Akiko Iwase, Kogarashi Wakasugi, Johnny Depp, Katherine Jenkins, Bill Nighy, Minami, Hikaru Inagawa, Sonata Molocajeviene, Muneaki Kitsukawa, Tadanobu Asano, Ryô Kase, Hiroyuki Sanada, Jun Kunimura, Yosuke Hosoi, Yuzu Aoki, Lily Robinson, Aiko Sakakura, Masayoshi Haneda"
"Batman: The Long Halloween, Part One","Bill Finger, Bob Kane, Jeph Loeb","Jensen Ackles, Josh Duhamel, Naya Rivera, Troy Baker, Billy Burke, Frances Callier, Greg Chun, David Dastmalchian, Alastair Duncan, Gary LeRoi Gray, Amy Landecker, Julie Nathanson, Jim Pirri, Jack Quaid, Fred Tatasciore, Titus Welliver"
Manderlay,Lars von Trier,"Bryce Dallas Howard, Isaach De Bankolé, Danny Glover, Willem Dafoe, Michaël Abiteboul, Lauren Bacall, Jean-Marc Barr, Geoffrey Bateman, Virgile Bramly, Ruben Brinkman, Doña Croll, Jeremy Davies, Llewella Gideon, Mona Hammond, Ginny Holder, John Hurt, Emmanuel Idowu, Zeljko Ivanek"
Frances,"Eric Bergren, Christopher De Vore, Nicholas Kazan","Jessica Lange, Jonathan Banks, Bonnie Bartlett, James Brodhead, Bart Burns, Jane Jenkins, Jordan Charney, Daniel Chodos, Rod Colbin, Donald Craig, Sarah Cunningham, Lee de Broux, Jeffrey DeMunn, Jack Fitzgerald, Nancy Foy, Anne Haney, Richard L. Hawkins, James Karen"
Mutiny on the Bounty,"Charles Lederer, Charles Nordhoff, James Norman Hall","Marlon Brando, Trevor Howard, Richard Harris, Hugh Griffith, Richard Haydn, Tarita, Percy Herbert, Duncan Lamont, Gordon Jackson, Chips Rafferty, Noel Purcell, Ashley Cowan, Eddie Byrne, Frank Silvera, Tim Seely, Keith McConnell, Rahera Tuia, Ruita Salmon"
In the Valley of Elah,"Paul Haggis, Mark Boal","Tommy Lee Jones, Charlize Theron, Jonathan Tucker, Jason Patric, Susan Sarandon, James Franco, Barry Corbin, Josh Brolin, Frances Fisher, Wes Chatham, Jake McLaughlin, Mehcad Brooks, Wayne Duvall, Roman Arabia, Brent Briscoe, Greg Serano, Brent Sexton, Devin Brochu"
Avalon,Barry Levinson,"Aidan Quinn, Elizabeth Perkins, Leo Fuchs, Eve Gordon, Lou Jacobi, Armin Mueller-Stahl, Joan Plowright, Kevin Pollak, Israel Rubinek, Elijah Wood, Grant Gelt, Mindy Loren Isenstein, Shifra Lerer, Mina Bern, Frania Rubinek, Neil Kirk, Ronald Guttman, Rachel Aviva"
My All-American,"Angelo Pizzo, Jim Dent","Aaron Eckhart, Finn Wittrock, Robin Tunney, Sarah Bolger, Rett Terrell, Michael Reilly Burke, Juston Street, Donny Boaz, Jordan Shipley, Alex MacNicoll, Richard Kohnke, Eddie Davenport, Austin Willis, Luke Poehlmann, Brent Anderson, Brett Brock, Hector Becerra, Todd Allen"
Two-lane Blacktop,"Rudy Wurlitzer, Will Corry, Floyd Mutrux","James Taylor, Warren Oates, Laurie Bird, Dennis Wilson, David Drake, Richard Ruth, Rudy Wurlitzer, Jaclyn Hellman, Bill Keller, Harry Dean Stanton, Don Samuels, Charles Moore, Tom Green, W.H. Harrison, Alan Vint, Illa Ginnaven, George Mitchell, A.J. Solari"
Toofan,"Adnan Adib Khan, Raihan Rafi","Shakib Khan, Mimi Chakraborty, Masuma Rahman Nabila, Salahuddin Lavlu, Gazi Rakayet, Misha Sawdagor, Shahiduzzaman Selim"
The Madness of King George,Alan Bennett,"Nigel Hawthorne, Helen Mirren, Rupert Graves, Amanda Donohoe, Charlotte Curley, Peter Bride-Kirk, Eve Cadman, Thomas Copeland, Joanna Hall, Cassandra Halliburton, Russell Martin, Natalie Palys, Rupert Everett, Julian Rhind-Tutt, David Leon, Martin Julier, Anthony Calf, Matthew Lloyd Davies"
Death and the Maiden,"Ariel Dorfman, Rafael Yglesias","Sigourney Weaver, Ben Kingsley, Stuart Wilson, Krystia Mova, Jonathan Vega, Rodolphe Vega, Gilberto Cortés, Jorge Cruz, Carlos Moreno, Eduardo Valenzuela, Sergio Ortega Alvarado, Karen Strassman"
Operation Petticoat,"Stanley Shapiro, Maurice Richlin, Paul King","Cary Grant, Tony Curtis, Joan O'Brien, Dina Merrill, Gene Evans, Dick Sargent, Virginia Gregg, Robert F. Simon, Robert Gist, Gavin MacLeod, George Dunn, Dick Crockett, Madlyn Rhue, Marion Ross, Clarence Lung, Frankie Darro, Tony Pastor Jr., Bob Hoy"
Dogman,"Ugo Chiti, Matteo Garrone, Massimo Gaudioso","Marcello Fonte, Edoardo Pesce, Nunzia Schiano, Adamo Dionisi, Francesco Acquaroli, Gianluca Gobbi, Alida Baldari Calabria, Laura Pizzirani, Giancarlo Porcacchia, Aniello Arena, Mirko Frezza, Marco Perfetti, Vittorio Russo, Gennaro Iannone, Emanuele Barbalonga, Daniele Saliceti, Nelly Oliva, Miriam Platano"
Sutorîto faitâ II gekijô-ban,"Takashi Nishiyama, Hiroshi Matsumoto, Akira Nishitani","Kôjiro Shimizu, Kenji Haga, Miki Fujitani, Masane Tsukayama, Masakatsu Funaki, Ginzô Matsuo, Shôzô Îzuka, Yôko Sasaki, Daisuke Gôri, Yukimasa Kishino, Unshô Ishizuka, Tetsuo Kanao, Chikao Ôtsuka, Kaneto Shiozawa, Shigezô Sasaoka, Jôji Nakata, Hiromi Tsuru, Masayoshi Nagasawa"
Peaceful Warrior,"Kevin Bernhardt, Dan Millman","Scott Mechlowicz, Nick Nolte, Amy Smart, Tim DeKay, Ashton Holmes, Paul Wesley, B.J. Britt, Agnes Bruckner, Tom Tarantini, Beatrice Rosen, Ray Wise, Scott Caudill, Matthew Prater, Bart Conner, Jimmy Bradley, Dan Millman, Steve Talley, Tom Costello"
On Dangerous Ground,"A.I. Bezzerides, Nicholas Ray, Gerald Butler","Ida Lupino, Robert Ryan, Ward Bond, Charles Kemper, Anthony Ross, Ed Begley, Ian Wolfe, Sumner Williams, Gus Schilling, Frank Ferguson, Cleo Moore, Olive Carey, Richard Irving, Patricia Prest, Roy Alexander, Frank Arnold, Vince Barnett, Leslie Bennett"
Broken,"Daniel Clay, Mark O'Rowe","Charlie Booty, Lily James, Tim Roth, Eloise Laurence, Lukas Fernandes-Pendse, Michael Fernandes-Pendse, Robert Emms, Rory Kinnear, Faye Daveney, Martha Bryant, Clare Burt, Denis Lawson, Paul Thornley, David Webber, Bill Milner, Rosie Kosky-Hensman, Seeta Indrani, Andrew Frame"
Fahrenheit 11/9,Michael Moore,"Jim Acosta, Roger Ailes, Brooke Baldwin, Ashleigh Banfield, Stephen Bannon, Roseanne Barr, Joy Behar, Ruth Ben-Ghiat, Joe Biden, Wolf Blitzer, John Boehner, John Bolton, Barry Burden, Barbara Bush, George W. Bush, Jeb Bush, Pat Caesar, Pat Callaghan"
L'été meurtrier,Sébastien Japrisot,"Isabelle Adjani, Alain Souchon, Suzanne Flon, Jenny Clève, Maria Machado, Evelyne Didi, Jean Gaven, François Cluzet, Manuel Gélin, Roger Carel, Michel Galabru, Marie-Pierre Casey, Cécile Vassort, Edith Scob, Virginie Vignon, Martin Lamotte, Yves Afonso, Raymond Meunier"
Insomnia,"Nikolaj Frobenius, Erik Skjoldbjærg","Stellan Skarsgård, Sverre Anker Ousdal, Maria Mathiesen, Gisken Armand, Kristian Figenschow, Thor Michael Aamodt, Frode Rasmussen, Bjørn Moan, Maria Bonnevie, Marianne O. Ulrichsen, Bjørn Floberg, Guri Johnson"
Calamity Jane,James O'Hanlon,"Doris Day, Howard Keel, Allyn Ann McLerie, Philip Carey, Dick Wesson, Paul Harvey, Chubby Johnson, Gale Robbins, Victor Adamson, Fred Aldrich, Leon Alton, Monya Andre, Beulah Archuletta, Emile Avery, Mary Bayless, George Bell, Ray Bennett, Arthur Berkeley"
Words on Bathroom Walls,"Nick Naveda, Julia Walton","Charlie Plummer, Andy Garcia, Taylor Russell, AnnaSophia Robb, Beth Grant, Devon Bostick, Lobo Sebastian, Molly Parker, Walton Goggins, Aaron Dominguez, Reinaldo Faberlle, Jeris Donovan, Iain Tucker, Sean Michael Weber, Drew Scheid, Anthony J. Police, Els Dusek, Blaque Fowler"
Hahah Price,"Robert Alan Aurthur, John Frankenheimer, William Hanley","James Garner, Eva Marie Saint, Yves Montand, Toshirô Mifune, Brian Bedford, Jessica Walter, Antonio Sabato, Françoise Hardy, Adolfo Celi, Claude Dauphin, Enzo Fiermonte, Geneviève Page, Jack Watson, Donald O'Brien, Jean Michaud, Albert Rémy, Rachel Kempson, Ralph Michael"
Joheunnom Nabbeunnom Isanghannom,"Kim Jee-woon, Min-suk Kim","Song Kang-ho, Lee Byung-hun, Jung Woo-sung, Yun Je-mun, Ryu Seung-su, Song Young-chang, Son Byung-ho, Oh Dal-su, Lee Chung-Ah, Kim Kwang-il, Ma Dong-seok, Kyeong-hun Jo, Hang-soo Lee, Kang Hyun-joong, Lee Sung-min, Chang-sook Ryu, Young-mok Yun, Cheol-ho Yeom"
The Bells of St. Mary's,"Dudley Nichols, Leo McCarey, Louis Sauvat","Bing Crosby, Ingrid Bergman, Henry Travers, William Gargan, Ruth Donnelly, Joan Carroll, Martha Sleeper, Rhys Williams, Richard Tyler, Una O'Connor, Edward Coch Jr., Aina Constant, Jimmy Crane, Gwen Crawford, Bobby Dolan Jr., Jimmie Dundee, Bobby Frasco, Matt McHugh"
Viy,"Konstantin Ershov, Nikolay Gogol, Georgiy Kropachyov","Leonid Kuravlyov, Natalya Varley, Aleksey Glazyrin, Nikolay Kutuzov, Vadim Zakharchenko, Pyotr Vesklyarov, Vladimir Salnikov, Dmitriy Kapka, Stepan Shkurat, Georgiy Sochevko, Nikolay Yakovchenko, Nikolay Panasev, Borislav Brondukov, Aleksandra Denisova, Lyubov Kalyuzhnaya, Viktor Kolpakov, Mikhail Kramar, Margarita Krinitsyna"
Street Fighter,"Walter Hill, Bryan Gindoff, Bruce Henstell","Charles Bronson, James Coburn, Jill Ireland, Strother Martin, Margaret Blye, Michael McGuire, Felice Orlandi, Edward Walsh, Bruce Glover, Robert Tessier, Nick Dimitri, Frank McRae, Maurice Kowalewski, Naomi Stevens, Lyla Hay Owen, John Creamer, Robert Castleberry, Becky Allen"
Cat People,DeWitt Bodeen,"Simone Simon, Tom Conway, Kent Smith, Jane Randolph, Jack Holt, Henrietta Burnside, Alec Craig, Eddie Dew, Elizabeth Dunne, Dynamite, Dot Farley, Mary Halsey, Theresa Harris, Charles Jordan, Donald Kerr, Connie Leon, Murdock MacQuarrie, Alan Napier"
Marshland,"Rafael Cobos, Alberto Rodríguez","Javier Gutiérrez, Raúl Arévalo, María Varod, Perico Cervantes, Jesús Ortiz, Jesús Carroza, Salva Reina, Antonio de la Torre, Nerea Barros, Ana Tomeno, Paula Palacios, Claudia Ubreva, Lucía Arias, Chelo Castro, Jesús Castro, Lola Páez, Paco Inestrosa, Ángela Vega"
Reversal of Fortune,"Alan Dershowitz, Nicholas Kazan","Jeremy Irons, Glenn Close, Ron Silver, Annabella Sciorra, Uta Hagen, Fisher Stevens, Jack Gilpin, Christine Baranski, Stephen Mailer, Christine Dunford, Felicity Huffman, Mano Singh, Johann Carlo, Keith Reddin, Alan Pottinger, Mitchell Whitfield, Tom Wright, Gordon Joseph Weiss"
Truly Madly Deeply,Anthony Minghella,"Juliet Stevenson, Alan Rickman, Jenny Howe, Carolyn Choa, Bill Paterson, Christopher Rozycki, Keith Bartlett, David Ryall, Stella Maris, Ian Hawkes, Deborah Findlay, Vania Vilers, Arturo Venegas, Richard Syms, Michael Maloney, Mark Long, Teddy Kempner, Graeme Du-Fresne"
Babyteeth,Rita Kalnejais,"Eliza Scanlen, Michelle Lotters, Toby Wallace, Sora Wakaki, Renee Billing, Zack Grech, Georgina Symes, Essie Davis, Ben Mendelsohn, Emily Barclay, Eugene Gilfedder, Edward Lau, Charles Grounds, Jack Yabsley, Andrea Demetriades, Ashley Hanak, Quentin Yung, Jaga Yap"
De battre mon coeur s'est arrêté,"Jacques Audiard, Tonino Benacquista, James Toback","Romain Duris, Aure Atika, Emmanuelle Devos, Niels Arestrup, Jonathan Zaccaï, Gilles Cohen, Linh-Dan Pham, Anton Yakovlev, Mélanie Laurent, Agnès Aubé, Etienne Dirand, Denis Falgoux, Serge Onteniente, Sandy Whitelaw, Emmanuel Finkiel, Jian-Zhang, Omar Habib, Jamal Djabou"
Beasts of the Southern Wild,"Lucy Alibar, Benh Zeitlin","Quvenzhané Wallis, Dwight Henry, Levy Easterly, Lowell Landes, Pamela Harper, Gina Montana, Amber Henry, Jonshel Alexander, Nicholas Clark, Joseph Brown, Henry D. Coleman, Kaliana Brower, Philip Lawrence, Hannah Holby, Jimmy Lee Moore, Jovan Hathaway, Kendra Harris, Marilyn Barbarin"
They Were Expendable,"William L. White, Frank Wead, Norman Corwin","Robert Montgomery, John Wayne, Donna Reed, Jack Holt, Ward Bond, Marshall Thompson, Paul Langton, Leon Ames, Arthur Walsh, Donald Curtis, Cameron Mitchell, Jeff York, Murray Alper, Harry Tenbrook, Jack Pennick, Alex Havier, Charles Trowbridge, Robert Barrat"
Kvinden I Buret,"Jussi Adler-Olsen, Nikolaj Arcel","Nikolaj Lie Kaas, Per Scheel Krüger, Troels Lyby, Øyvind B. Fabricius Holm, Søren Pilmark, Divya Das, Anne Bærskog Hauger, Fares Fares, Sonja Richter, Rasmus Botoft, Patricia Schumann, Marie Mondrup, Mikkel Boe Følsgaard, Kenneth Carmohn, Patric Lindström, Michael Brostrup, Jeff Pitzner, Lane Lind"
The Cincinnati Kid,"Richard Jessup, Ring Lardner Jr., Terry Southern","Steve McQueen, Ann-Margret, Edward G. Robinson, Karl Malden, Tuesday Weld, Joan Blondell, Rip Torn, Jack Weston, Cab Calloway, Jeff Corey, Theodore Marcuse, Milton Selzer, Karl Swenson, Émile Genest, Ron Soble, Irene Tedrow, Midge Ware, Dub Taylor"
Stan & Ollie,"Jeff Pope, 'A.J.' Marriot","Steve Coogan, John C. Reilly, Shirley Henderson, Nina Arianda, Rufus Jones, Danny Huston, Joseph Balderrama, John Henshaw, Tapiwa Mugweni, Keith MacPherson, Stewart Alexander, Kevin Millington, Toby Sedgwick, Rebecca Yeo, Stephanie Hyam, Kate Okello, Sanjeev Kohli, Richard Cant"
Of Gods and Men,"Xavier Beauvois, Etienne Comar","Lambert Wilson, Michael Lonsdale, Olivier Rabourdin, Philippe Laudenbach, Jacques Herlin, Loïc Pichon, Xavier Maly, Jean-Marie Frin, Abdelhafid Metalsi, Sabrina Ouazani, Abdellah Moundy, Olivier Perrier, Farid Larbi, Adel Bencherif, Benaïssa Ahaouari, Idriss Karimi, Abdellah Chakiri, Goran Kostic"
Salinjaui Gieokbeob,"Jo-yun Hwang, Kim Young-ha","Sul Kyung-gu, Kim Nam-gil, Kim Seol-hyun, Oh Dal-su, Hwang Seok-jeong, Gil Hae-Yeon, Lee Byung-joon, Kim Hye-yoon, Eom Ji-man, Kim Joo-hun, In-Gum Jung, Jae-Ik Lee, Saeromi Lee, Shin Rin-ah, Ki-jun Shin, Lee Tae-hyung, Choi Yoo-Song"
Soul Kitchen,"Fatih Akin, Adam Bousdoukos","Adam Bousdoukos, Moritz Bleibtreu, Pheline Roggan, Anna Bederke, Birol Ünel, Dorka Gryllus, Wotan Wilke Möhring, Lucas Gregorowicz, Demir Gökgöl, Cem Akin, Marc Hosemann, Catrin Striebeck, Ugur Yücel, Udo Kier, Monica Bleibtreu, Bernd Gajkowski, Herma Koehn, Julia Wachsmann"
The Man in the White Suit,"Roger MacDougall, John Dighton, Alexander Mackendrick","Alec Guinness, Joan Greenwood, Cecil Parker, Michael Gough, Ernest Thesiger, Howard Marion-Crawford, Henry Mollison, Vida Hope, Patric Doonan, Duncan Lamont, Harold Goodwin, Colin Gordon, Joan Harben, Arthur Howard, Roddy Hughes, Stuart Latham, Miles Malleson, Edie Martin"
The Science of Sleep,Michel Gondry,"Gael García Bernal, Charlotte Gainsbourg, Miou-Miou, Alain Chabat, Pierre Vaneck, Emma de Caunes, Aurélia Petit, Sacha Bourdo, Stéphane Metzger, Alain de Moyencourt, Inigo Lezzi, Yvette Petit, Jean-Michel Bernard, Eric Mariotto, Bertrand Delpierre"
An Unmarried Woman,Paul Mazursky,"Jill Clayburgh, Alan Bates, Michael Murphy, Cliff Gorman, Patricia Quinn, Kelly Bishop, Lisa Lucas, Linda Miller, Andrew Duncan, Daniel Seltzer, Matthew Arkin, Penelope Russianoff, Novella Nelson, Raymond J. Barry, Ivan Karp, Jill Eikenberry, Michael Tucker, Chico Martínez"
"Same Time, Next Year",Bernard Slade,"Alan Alda, Ellen Burstyn, Ivan Bonar, Bernie Kuby, Cosmo Sardo, David Northcutt, William Cantrell"
L'histoire d'Adèle H.,"François Truffaut, Jean Gruault, Suzanne Schiffman","Isabelle Adjani, Bruce Robinson, Sylvia Marriott, Joseph Blatchley, Ivry Gitlis, Louise Bourdet, Cecil De Sausmarez, Ruben Dorey, Clive Gillingham, Roger Martin, M. White, Madame Louise, Jean-Pierre Leursse, Geoffroy Crook, Chantal Durpoix, Raymond Falla, David Foote, Jacques Frejabue"
Girl,"Lukas Dhont, Angelo Tijssens","Victor Polster, Arieh Worthalter, Oliver Bodart, Tijmen Govaerts, Katelijne Damen, Valentijn Dhaenens, Magali Elali, Alice de Broqueville, Alain Honorez, Chris Thys, Angelo Tijssens, Marie-Louise Wilderijckx, Virginia Hendricksen, Daniel Nicodème, Els Olaerts, Hélène Theunissen, Alexia Depicker, Steve Driesen"
American Murder: The Family Next Door,"Nickole Atkinson, Jim Benemann, Luke Epple","Nickole Atkinson, Jim Benemann, Luke Epple, Mark Jamieson, Nichol Kessinger, Marcelo Kopcow, Tammy Lee, Karen Leigh, Theresa Marchetta, Tom Mustin, Michael Rourke, Frank Rzucek, Frankie Rzucek, Sandi Rzucek, Bella Watts, Celeste Watts, Chris Watts, Cindy Watts"
Dheepan,"Jacques Audiard, Thomas Bidegain, Noé Debré","Jesuthasan Antonythasan, Kalieaswari Srinivasan, Claudine Vinasithamby, Vincent Rottiers, Faouzi Bensaïdi, Marc Zinga, Bass Dhem, Franck Falise, Joséphine de Meaux, Jean-Baptiste Pouilloux, Nathan Anthonypillai, Vasanth Selvam, Kartik Krishnan, Rudhrah, Tassadit Mandi, Marie Trichet, Tarik Lamli, Joël Boudjelta"
They Drive by Night,"Jerry Wald, Richard Macaulay, A.I. Bezzerides","George Raft, Humphrey Bogart, Ann Sheridan, Ida Lupino, Gale Page, Alan Hale, Roscoe Karns, John Litel, George Tobias, Eddie Acuff, William Bendix, Marie Blake, Chet Brandenburg, Eddy Chandler, Richard Clayton, Joyce Compton, Alan Davis, Joe Devlin"
Private Life,Tamara Jenkins,"Kathryn Hahn, Paul Giamatti, Gabrielle Reid, Amy Russ, Caroline Martin, Nick Sullivan, Hettienne Park, Denis O'Hare, Molly Shannon, John Carroll Lynch, Emily Robinson, Kayli Carter, Alyssa Cheatham, Leah Griffin, Tracee Chimo Pallero, David Cale, Seaton Smith, Siobhan Fallon Hogan"
Chipamank Saahasik,"Janice Karman, Ross Bagdasarian Jr., Ross Bagdasarian","Ross Bagdasarian Jr., Janice Karman, Dody Goodman, Susan Tyrrell, Anthony De Longis, Frank Welker, Nancy Cartwright, Philip L. Clarke, Ken Sansom, George Poulos, Charlie Adler, Patrick Pinney, Jack Angel, Mel Blanc, Laura Summer"
Deep End,"Jerzy Skolimowski, Jerzy Gruza, Boleslaw Sulik","Jane Asher, John Moulder-Brown, Karl Michael Vogler, Christopher Sandford, Diana Dors, Louise Martini, Erica Beer, Anita Lochner, Anne-Marie Kuster, Cheryl Hall, Christine Paul, Dieter Eppler, Karl Ludwig Lindt, Eduard Linkers, Will Danin, Gerald Rowland, Burt Kwouk, Sean Barry-Weske"
Bedevilled,Kwang-young Choi,"Seo Yeong-hie, Ji Seong-won, Min-ho Hwang, Min Je, Lee Ah-In, Park Jeong-hak, Jang-hun Ahn, Su-yeon Ahn, Shi-hyeon Chae, Yeong-min Chun, Jo Deok-jae, Jung Gi-sub, Dong-hak Han, Hae-ji Hang, Jae-seong Hong, Seung-jin Hong, Hyeon-su Kim, Yong Kim"
Children of a Lesser God,"Mark Medoff, Hesper Anderson, James Carrington","William Hurt, Marlee Matlin, Piper Laurie, Philip Bosco, Allison Gompf, John F. Cleary, Philip Holmes, Georgia Ann Cline, William D. Byrd, Frank Carter Jr., John Limnidis, Bob Hiltermann, E. Katherine Kerr, John Basinger, Barry Magnani, Linda Bove, Ann Hanson, James Carrington"
Dirty Pretty Things,Steven Knight,"Chiwetel Ejiofor, Audrey Tautou, Sophie Okonedo, Kriss Dosanjh, Israel Oyelumade, Yemi Goodman Ajibade, Nizwar Karanj, Deobia Oparei, Jeffery Kissoon, Zlatko Buric, Sergi López, Benedict Wong, Kenan Hudaverdi, Damon Younger, Paul Bhattacharjee, Darrell D'Silva, Sotigui Kouyaté, Abi Gouhad"
Me and You and Everyone We Know,Miranda July,"John Hawkes, Miranda July, Miles Thompson, Brandon Ratcliff, Carlie Westerman, Hector Elias, Brad William Henke, Natasha Slayton, Najarra Townsend, Tracy Wright, JoNell Kennedy, Ellen Geer, Colette Kilroy, James Kayten, Amy French, Sven Holmberg, James Mathers, Kelsey Chapman"
Mrs Brown,Jeremy Brock,"Judi Dench, Billy Connolly, Geoffrey Palmer, Antony Sher, Gerard Butler, Richard Pasco, David Westhead, Bridget McConnell, Georgie Glen, Catherine O'Donnell, Sara Stewart, Finty Williams, Claire Nicolson, Hattie Ladbury, Oliver Kent, Alex Menzies, Simon McKerrell, Rupert Farley"
Giant Little Ones,Keith Behrman,"Josh Wiggins, Darren Mann, Taylor Hickson, Maria Bello, Kyle MacLachlan, Niamh Wilson, Hailey Kittle, Peter Outerbridge, Stephanie Moore, Kiana Madeira, Olivia Scriven, Evan Marsh, Carson MacCormac, Jeff Clarke, Cory Lee, Troy Boudreau, Hanna Ellis"
A Fortunate Man,"Anders Frithiof August, Bille August, Henrik Pontoppidan","Esben Smed, Katrine Greis-Rosenthal, Benjamin Kitter, Julie Christiansen, Tommy Kenter, Tammi Øst, Rasmus Bjerg, Ole Lemmeke, Sara Viktoria Bjerregaard, Sophie-Marie Jeppesen, Claus Flygare, Mei Oulund, Paul Hüttel, Elsebeth Steentoft, Anders Hove, Peter Hald, Johannes Nymark, Steffen Rode"
Birdy,"William Wharton, Sandy Kroopf, Jack Behr","Matthew Modine, Nicolas Cage, John Harkins, Sandy Baron, Karen Young, Bruno Kirby, Nancy Fish, George Buck, Dolores Sage, Pat Ryan, James Santini, Maud Winchester, Marshall Bell, Elizabeth Whitcraft, Sandra Beall, Victoria Nekko, Crystal Field, John Brumfield"
Shirley Valentine,Willy Russell,"Pauline Collins, Tom Conti, Julia McKenzie, Alison Steadman, Joanna Lumley, Sylvia Syms, Bernard Hill, George Costigan, Anna Keaveney, Tracie Bennett, Ken Sharrock, Karen Craig, Gareth Jefferson, Gillian Kearney, Catharine Duncan, Cardew Robinson, Honora Burke, Marc Zuber"
Emperor of the North Pole,"Christopher Knopf, Jack London","Lee Marvin, Ernest Borgnine, Keith Carradine, Charles Tyner, Malcolm Atterbury, Simon Oakland, Harry Caesar, Hal Baylor, Matt Clark, Elisha Cook Jr., Joe Di Reda, Liam Dunn, Diane Dye, Robert Foulk, Jim Goodwin, Raymond Guth, Sid Haig, Karl Lukas"
Metropolis,"Osamu Tezuka, Katsuhiro Ôtomo, Fritz Lang","Toshio Furukawa, Scott Weinger, Yuka Imoto, Kei Kobayashi, Kôki Okada, Tarô Ishida, Kôsei Tomita, Norio Wakamoto, Junpei Takiguchi, Takeshi Aono, Masaru Ikeda, Shun Yashiro, Shigeru Chiba, Masashi Ebara, Takaya Hashi, Norihiro Inoue, Rikako Aikawa, Tomohisa Asô"
La Cage Aux Folles,"Jean Poiret, Francis Veber, Édouard Molinaro","Ugo Tognazzi, Michel Serrault, Claire Maurier, Rémi Laurent, Carmen Scarpitta, Benny Luke, Luisa Maneri, Michel Galabru, Venantino Venantini, Carlo Reali, Guido Cerniglia, Angelo Pellegrino, Nicola D'Eramo, Vinicio Diamanti, Liana Del Balzo, Piero Mazzinghi, Walter Lucchini, Bruno Sgueglia"
Sweet and Lowdown,Woody Allen,"Sean Penn, Samantha Morton, Woody Allen, Ben Duncan, Daniel Okrent, Dan Moran, Tony Darrow, Chris Bauer, Constance Shulman, Kellie Overbey, Darryl Alan Reed, Marc Damon Johnson, Ron Cephas Jones, Steve Bargonetti, Benjamin Franklin Brown, James Urbaniak, Vince Giordano, Emme Kemp"
Wild Hearts Can't Be Broken,"Matt Williams, Oley Sassone","Gabrielle Anwar, Michael Schoeffling, Cliff Robertson, Dylan Kussman, Kathleen York, Frank Renzulli, Nancy Moore Atchison, Lisa Norman, Lorianne Collins, Elizabeth Hayes, Laura Lee Norton, Michael J. Matusiak, Jeff Woodward, David Massry, Cheri Brown, David Dwyer, Haley Aull, Ed Grady"
Chor Nikal Ke Bhaga,"Siraj Ahmed, Raj Kumar Gupta, Amar Kaushik","Yami Gautam, Sunny Kaushal, Sharad Kelkar, Indraneil Sengupta, Barun Chanda, Krunal Pandit, Ajeet Singh Palwat, Sunil Palwal, Ghanshyam Lalsa, Robin Das, Priyanka Karunakaran, Aru Krishansh Verma, Kamaal Malik, Vishal Om Prakash, Thalaivasal Vijay, Purnendu Bhattacharya, Aashit Chatterjee, Sarah Khatri"
