title,genre,popularity
Guardians of the Galaxy,"Action,Science Fiction,Adventure",80.592
Winter Light,Drama,6.906
Return of the Jedi,"Adventure,Action,Science Fiction",26.349
Amélie,"Comedy,Romance",29.126
Minha Vida em Marte,"Comedy,Romance",4.298
Sing Street,"Comedy,Romance,Drama,Music",12.019
The Pursuit of Happyness,Drama,36.131
Letter from an Unknown Woman,"Drama,Romance",7.502
Roman Holiday,"Romance,Comedy,Drama",16.377
You've Got This,"Romance,Comedy",11.641
The Working Class Goes to Heaven,Drama,7.646
Ivan's Childhood,"Drama,War",8.835
The Specials,"Comedy,Drama",8.328
Yi Yi,"Drama,Romance",13.577
It Happened One Night,"Comedy,Romance",9.83
Dancer in the Dark,"Drama,Crime",13.371
La luna,"Animation,Family",6.159
Heat,"Action,Crime,Drama,Thriller",66.459
V for Vendetta,"Action,Thriller,Fantasy",40.257
Rio Bravo,Western,15.976
Sherlock: The Abominable Bride,"Crime,Drama,Mystery,TV Movie",24.639
Scooby-Doo! and the Samurai Sword,"Family,Mystery,Animation,Comedy,Action,Fantasy",12.718
Tokyo Godfathers,"Animation,Drama,Comedy",12.468
Whiplash,"Drama,Music",7.658
Bajrangi Bhaijaan,"Action,Comedy,Drama",9.579
Me Before You,"Drama,Romance",141.412
A Street Cat Named Bob,"Family,Drama",15.579
Nostalgia,"Drama,Romance",11.362
The Cure,"Drama,Family",11.008
Farewell My Concubine,Drama,10.943
Miraculous World: Shanghai – The Legend of Ladydragon,"Animation,Family,Adventure,Fantasy,Action,TV Movie",268.031
Gone Girl,"Mystery,Thriller,Drama",50.917
The Seven Deadly Sins: Cursed by Light,"Animation,Fantasy",452.698
A Fistful of Dollars,Western,21.83
Monsieur Verdoux,"Comedy,Crime",8.117
Day for Night,"Comedy,Drama",6.809
Paper Moon,"Comedy,Crime,Drama",9.458
Diabolique,"Drama,Horror,Thriller",9.478
Always,"Romance,Drama,Adventure",10.591
See You Up There,"Drama,Crime,War",10.747
La La Land,"Comedy,Drama,Romance,Music",33.13
Tampopo,Comedy,8.819
World of Tomorrow,"Animation,Drama,Science Fiction",5.697
The Diamond Arm,"Adventure,Comedy,Crime",6.761
Perfect Strangers,"Comedy,Drama",14.692
Departures,Drama,9.363
Fargo,"Crime,Drama,Thriller",16.833
The Notebook,"Romance,Drama",73.957
