job_title,work_year,salary_in_usd,company_location,company_size
Data Scientist,2023,283000,US,M
Robotics Software Engineer,2024,282000,US,M
Data Engineer,2024,282000,US,M
Data Engineer,2023,282000,US,M
Data Engineer,2023,282000,US,M
Applied Scientist,2023,281700,US,M
Data Scientist,2023,281000,CA,M
Data Scientist,2023,281000,CA,M
Research Engineer,2023,281000,US,M
Data Scientist,2023,281000,CA,M
Data Scientist,2023,280889,US,M
Data Scientist,2023,280889,US,M
Data Scientist,2023,280830,CA,M
Machine Learning Engineer,2023,280700,US,M
Data Engineer,2023,280600,US,M
Data Engineer,2023,280600,US,M
Data Architect,2023,280100,US,M
Data Architect,2023,280100,US,M
Research Scientist,2024,280000,US,M
Prompt Engineer,2024,280000,US,M
Research Engineer,2024,280000,US,M
MLOps Engineer,2024,280000,US,M
Machine Learning Engineer,2024,280000,US,M
Research Engineer,2024,280000,US,M
Machine Learning Engineer,2023,280000,US,M
Data Science,2023,280000,US,M
Data Scientist,2023,280000,US,M
Data Engineer,2023,280000,US,M
Machine Learning Engineer,2023,280000,US,M
Data Engineer,2023,280000,US,M
Data Analyst,2023,280000,US,M
Machine Learning Engineer,2023,280000,US,M
Machine Learning Scientist,2023,280000,US,M
Machine Learning Engineer,2023,280000,US,M
Machine Learning Engineer,2023,280000,US,M
Data Analyst,2023,280000,US,M
Research Scientist,2023,280000,GB,L
Computer Vision Engineer,2023,280000,US,M
Computer Vision Engineer,2023,280000,US,M
Data Scientist,2024,279000,US,M
Data Architect,2024,278800,US,M
Machine Learning Engineer,2024,278700,US,M
Research Scientist,2024,278700,US,M
Research Scientist,2024,278700,US,M
Research Scientist,2024,278700,US,M
Research Scientist,2024,278700,US,M
Research Scientist,2024,278700,US,M
Data Scientist,2024,278700,US,M
Research Scientist,2024,278700,US,M
Research Scientist,2024,278700,US,M
Research Scientist,2024,278700,US,M
Research Scientist,2023,278700,US,M
Research Scientist,2023,278700,US,M
Research Scientist,2023,278700,US,M
Research Scientist,2023,278700,US,M
Research Scientist,2023,278700,US,M
Data Scientist,2023,278700,US,M
Data Scientist,2023,278700,US,M
Data Scientist,2023,278700,US,M
Research Scientist,2023,278700,US,M
Data Engineer,2023,278300,US,M
Machine Learning Engineer,2023,278000,US,M
Data Scientist,2023,277500,US,M
Data Scientist,2023,277300,GB,M
Data Engineer,2024,277000,US,M
Data Engineer,2024,277000,US,M
Machine Learning Scientist,2024,277000,US,M
Data Engineer,2024,277000,US,M
Data Scientist,2023,277000,US,M
AI Engineer,2024,276000,US,M
Data Engineer,2024,276000,US,M
Data Architect,2024,276000,US,M
Data Architect,2024,276000,US,M
Data Science,2024,276000,US,M
Data Science,2024,276000,US,M
ML Engineer,2023,276000,US,M
ML Engineer,2023,276000,US,M
ML Engineer,2023,276000,US,M
Machine Learning Engineer,2023,276000,US,M
Data Engineer,2023,276000,US,M
Machine Learning Engineer,2023,276000,US,M
Lead Data Engineer,2021,276000,US,L
Data Scientist,2023,275500,US,M
Data Scientist,2023,275300,US,M
ML Engineer,2023,275300,US,M
Data Engineer,2023,275300,US,M
Analytics Engineer,2023,275300,US,M
Data Scientist,2023,275300,US,M
Data Scientist,2023,275300,US,M
Data Scientist,2023,275300,US,M
Data Scientist,2023,275300,US,M
Data Scientist,2023,275300,US,M
Analytics Engineer,2023,275300,US,M
Data Scientist,2023,275300,US,M
Data Scientist,2023,275300,US,M
Data Scientist,2023,275300,US,M
Data Engineer,2024,275000,US,M
Machine Learning Engineer,2023,275000,US,M
ML Engineer,2023,275000,DE,M
ML Engineer,2023,275000,US,M
Data Engineer,2023,275000,US,M
Machine Learning Engineer,2023,275000,US,M
Machine Learning Engineer,2023,275000,US,M
Machine Learning Engineer,2023,275000,US,M
Research Scientist,2023,275000,US,M
Data Engineer,2023,275000,CA,M
Machine Learning Engineer,2023,275000,US,M
Research Scientist,2023,275000,US,M
Research Scientist,2023,275000,US,M
Research Engineer,2023,275000,DE,M
AI Developer,2022,275000,CA,S
Data Engineer,2023,275000,US,M
Machine Learning Engineer,2023,275000,DE,M
NLP Engineer,2023,275000,US,M
Data Engineer,2022,275000,US,M
Data Engineer,2024,211511,CA,M
Data Architect,2023,274450,US,M
Machine Learning Engineer,2024,274000,US,M
Data Scientist,2024,273500,US,M
Data Scientist,2023,273500,US,M
Machine Learning Engineer,2023,273400,US,M
Research Scientist,2023,273400,US,M
Machine Learning Engineer,2023,273400,US,M
Machine Learning Engineer,2023,273400,US,M
Research Engineer,2023,273000,US,M
Analytics Engineer,2024,272700,US,M
Data Scientist,2023,272550,US,M
Data Scientist,2022,272550,US,M
Data Scientist,2024,272400,US,M
Data Scientist,2023,272400,US,M
Data Science Manager,2023,272400,US,L
Data Science Manager,2023,272400,US,L
Data Scientist,2023,272300,US,M
Data Scientist,2023,272290,US,M
Data Science Lead,2023,272000,US,M
Machine Learning Software Engineer,2023,272000,US,M
Data Engineer,2023,270703,US,M
