job_title,salary,salary_currency
Research Engineer,280000,USD
Machine Learning Engineer,280000,USD
Data Science,280000,USD
Data Scientist,280000,USD
Data Engineer,280000,USD
Machine Learning Engineer,280000,USD
Data Engineer,280000,USD
Data Analyst,280000,USD
Machine Learning Engineer,280000,USD
Machine Learning Scientist,280000,USD
Machine Learning Engineer,280000,USD
Machine Learning Engineer,280000,USD
Data Analyst,280000,USD
Research Scientist,280000,USD
Computer Vision Engineer,280000,USD
Computer Vision Engineer,280000,USD
Data Scientist,279000,USD
Data Architect,278800,USD
Machine Learning Engineer,278700,USD
Research Scientist,278700,USD
Research Scientist,278700,USD
Research Scientist,278700,USD
Research Scientist,278700,USD
Research Scientist,278700,USD
Data Scientist,278700,USD
Research Scientist,278700,USD
Research Scientist,278700,USD
Research Scientist,278700,USD
Research Scientist,278700,USD
Research Scientist,278700,USD
Research Scientist,278700,USD
Research Scientist,278700,USD
Research Scientist,278700,USD
Data Scientist,278700,USD
Data Scientist,278700,USD
Data Scientist,278700,USD
Research Scientist,278700,USD
Data Engineer,278300,USD
Machine Learning Engineer,278000,USD
Data Scientist,277500,USD
Data Scientist,277300,USD
Data Engineer,277000,USD
Data Engineer,277000,USD
Machine Learning Scientist,277000,USD
Data Engineer,277000,USD
Data Scientist,277000,USD
AI Engineer,276000,USD
Data Engineer,276000,USD
Data Architect,276000,USD
Data Architect,276000,USD
Data Science,276000,USD
Data Science,276000,USD
ML Engineer,276000,USD
ML Engineer,276000,USD
ML Engineer,276000,USD
Machine Learning Engineer,276000,USD
Data Engineer,276000,USD
Machine Learning Engineer,276000,USD
Lead Data Engineer,276000,USD
Data Scientist,275500,USD
Data Scientist,275300,USD
ML Engineer,275300,USD
Data Engineer,275300,USD
Analytics Engineer,275300,USD
Data Scientist,275300,USD
Data Scientist,275300,USD
Data Scientist,275300,USD
Data Scientist,275300,USD
Data Scientist,275300,USD
Analytics Engineer,275300,USD
Data Scientist,275300,USD
Data Scientist,275300,USD
Data Scientist,275300,USD
Data Engineer,275000,USD
Machine Learning Engineer,275000,USD
ML Engineer,275000,USD
ML Engineer,275000,USD
Data Engineer,275000,USD
Machine Learning Engineer,275000,USD
Machine Learning Engineer,275000,USD
Machine Learning Engineer,275000,USD
Research Scientist,275000,USD
Data Engineer,275000,USD
Machine Learning Engineer,275000,USD
Research Scientist,275000,USD
Research Scientist,275000,USD
Research Engineer,275000,USD
AI Developer,275000,USD
Data Engineer,275000,USD
Machine Learning Engineer,275000,USD
NLP Engineer,275000,USD
Data Engineer,275000,USD
Data Engineer,274965,CAD
Data Architect,274450,USD
Machine Learning Engineer,274000,USD
Data Scientist,273500,USD
Data Scientist,273500,USD
Machine Learning Engineer,273400,USD
Research Scientist,273400,USD
Machine Learning Engineer,273400,USD
Machine Learning Engineer,273400,USD
Research Engineer,273000,USD
Analytics Engineer,272700,USD
Data Scientist,272550,USD
Data Scientist,272550,USD
Data Scientist,272400,USD
Data Scientist,272400,USD
Data Science Manager,272400,USD
Data Science Manager,272400,USD
Data Scientist,272300,USD
Data Scientist,272290,USD
Data Science Lead,272000,USD
Machine Learning Software Engineer,272000,USD
Data Engineer,270703,USD
Machine Learning Engineer,270400,USD
Data Engineer,270250,USD
Data Engineer,270250,USD
Data Science,270250,USD
Data Science,270250,USD
Machine Learning Engineer,270000,USD
Machine Learning Engineer,270000,USD
Data Engineer,270000,USD
Research Engineer,270000,USD
ML Engineer,270000,USD
Research Scientist,270000,USD
Head of Data,270000,USD
ML Engineer,270000,USD
Data Scientist,270000,USD
Data Science Manager,270000,USD
ML Engineer,270000,USD
Head of Data,269600,USD
Head of Data,269600,USD
Head of Data,269600,USD
Head of Data,269600,USD
Machine Learning Engineer,269500,USD
Machine Learning Engineer,269500,USD
Machine Learning Engineer,269500,USD
Data Engineer,269100,USD
Data Engineer,269100,USD
Data Scientist,269000,USD
Machine Learning Engineer,269000,USD
Data Science,268700,USD
Data Engineer,268500,USD
Data Scientist,268000,USD
Data Engineer,268000,USD
Data Scientist,268000,USD
Machine Learning Engineer,268000,USD
Data Science,267900,USD
Machine Learning Engineer,267900,USD
Machine Learning Engineer,267720,USD
ML Engineer,267720,USD
Machine Learning Engineer,267720,USD
Machine Learning Engineer,267720,USD
Machine Learning Engineer,267720,USD
Machine Learning Engineer,267720,USD
Machine Learning Engineer,267720,USD
Machine Learning Engineer,267720,USD
Head of Data,267500,USD
Data Science Manager,267100,USD
Data Scientist,267100,USD
Data Scientist,267100,USD
Analytics Engineer,267000,USD
Data Engineer,266875,USD
Data Scientist,266875,USD
Machine Learning Engineer,266875,USD
Data Engineer,266875,USD
Machine Learning Engineer,266500,USD
Machine Learning Engineer,266500,USD
Machine Learning Engineer,266500,USD
Applied Scientist,266482,USD
Research Engineer,266450,USD
Research Engineer,266450,USD
Data Science Engineer,266450,USD
Machine Learning Engineer,266400,USD
Data Architect,266400,USD
AI Architect,266000,USD
Data Engineer,266000,USD
Machine Learning Engineer,266000,USD
Data Scientist,266000,USD
Machine Learning Engineer,265800,USD
Data Engineer,265800,USD
Data Engineer,265200,USD
Machine Learning Engineer,265000,USD
Data Scientist,265000,USD
Data Scientist,265000,USD
Data Scientist,265000,USD
Data Engineer,265000,USD
Data Engineer,265000,USD
Data Engineer,265000,USD
Data Engineer,265000,USD
Data Scientist,264846,USD
Machine Learning Engineer,264400,USD
Machine Learning Engineer,263500,USD
Machine Learning Engineer,263500,USD
Data Architect,263100,USD
Business Intelligence Manager,263000,USD
Head of Data,263000,USD
Applied Scientist,262500,USD
ML Engineer,262269,USD
ML Engineer,262269,USD
Machine Learning Engineer,262000,USD
Data Scientist,262000,USD
Machine Learning Engineer,262000,USD
Data Scientist,262000,USD
Research Engineer,261500,USD
Machine Learning Engineer,261500,USD
Machine Learning Engineer,261500,USD
Data Science,261050,USD
Machine Learning Engineer,260800,USD
Data Scientist,260600,USD
Data Science Manager,260500,USD
Machine Learning Engineer,260100,USD
Machine Learning Engineer,260100,USD
Applied Scientist,260000,USD
Applied Scientist,260000,USD
Machine Learning Engineer,260000,USD
Data Scientist,260000,USD
Applied Scientist,260000,USD
Applied Scientist,260000,USD
Applied Scientist,260000,USD
Business Intelligence,260000,USD
Applied Scientist,260000,USD
Applied Scientist,260000,USD
Applied Scientist,260000,USD
Applied Scientist,260000,USD
Managing Director Data Science,260000,USD
Data Engineer,260000,USD
Applied Scientist,260000,USD
Research Scientist,260000,USD
Data Scientist,260000,USD
Applied Scientist,260000,USD
Applied Scientist,260000,USD
Applied Scientist,260000,USD
Applied Scientist,260000,USD
Applied Scientist,260000,USD
Machine Learning Engineer,260000,USD
Machine Learning Engineer,260000,USD
Applied Scientist,260000,USD
Applied Scientist,260000,USD
Applied Scientist,260000,USD
Machine Learning Engineer,260000,USD
Machine Learning Engineer,260000,USD
Machine Learning Infrastructure Engineer,260000,USD
AI Developer,260000,USD
Data Scientist,260000,USD
Data Engineer,260000,USD
Analytics Engineer,260000,USD
ML Engineer,260000,USD
Analytics Engineer,260000,USD
Applied Scientist,260000,USD
