Book,Author,Genres
A Shot of Faith (to the Head): Be a Confident Believer in an Age of Cranky Atheists,Mitch Stokes,"['Philosophy', 'Nonfiction', 'Christian', 'Theology', 'Christianity', 'Religion', 'Science']"
This Divided Island: Stories from the Sri Lankan War,Samanth Subramanian,"['Nonfiction', 'History', 'War', 'Politics', 'Asia', 'India', 'Travel']"
"The Red Knight (The Traitor Son Cycle, #1)",Miles  Cameron,"['Fantasy', 'Epic Fantasy', 'Fiction', 'High Fantasy', 'Dragons', 'Adult', 'Magic']"
Loves-Me-Not,Lesley  Elliot,[]
Miss Julie,August Strindberg,"['Plays', 'Classics', 'Drama', 'Theatre', 'Fiction', 'Swedish Literature', 'Scandinavian Literature']"
Know that I am God,P. Ritwik,[]
"Enna Burning (The Books of Bayern, #2)",Shannon Hale,"['Fantasy', 'Young Adult', 'Fiction', 'Romance', 'Fairy Tales', 'Adventure', 'Young Adult Fantasy']"
Bad : Six Sexy Gents Unmasked,Elle Brace,[]
Resistance,Allana Kephart,"['Fantasy', 'New Adult', 'Dystopia', 'Young Adult', 'Paranormal', 'Fairies']"
What Have We Done?,Zoe Moor,[]
The Complete Dead Sea Scrolls in English,Anonymous,"['Religion', 'History', 'Nonfiction', 'Reference', 'Theology', 'Christianity', 'Philosophy']"
"Friendlationships: From Like, to Like Like, to Love in Your Twenties",Jeff  Taylor,['Relationships']
The Mark of the Horse Lord,Rosemary Sutcliff,"['Historical Fiction', 'Fiction', 'Historical', 'Young Adult', 'Adventure', 'Fantasy', 'Classics']"
"Size 12 Is Not Fat (Heather Wells, #1)",Meg Cabot,"['Chick Lit', 'Mystery', 'Romance', 'Fiction', 'Contemporary', 'Adult', 'Young Adult']"
Men We Reaped,Jesmyn Ward,"['Nonfiction', 'Memoir', 'Race', 'Biography', 'African American', 'Biography Memoir', 'Social Justice']"
Creepshow,Stephen King,"['Horror', 'Comics', 'Graphic Novels', 'Fiction', 'Short Stories', 'Fantasy', 'Graphic Novels Comics']"
Annabel Horton: Lost Witch of Salem,Vera Jane Cook,"['Witches', 'Historical Fiction', 'Paranormal', 'Fantasy', 'Fiction', 'Historical']"
The Unremembered Girl,Eliza Maxwell,"['Fiction', 'Mystery', 'Thriller', 'Suspense', 'Mystery Thriller', 'Drama', 'Adult']"
The Dinner,Herman Koch,"['Fiction', 'Mystery', 'Thriller', 'Contemporary', 'Mystery Thriller', 'Audiobook', 'Adult']"
The Bone Clocks,David Mitchell,"['Fiction', 'Fantasy', 'Science Fiction', 'Literary Fiction', 'Magical Realism', 'Contemporary', 'Dystopia']"
The Marsh King's Daughter,Karen Dionne,"['Thriller', 'Fiction', 'Mystery', 'Suspense', 'Mystery Thriller', 'Crime', 'Audiobook']"
The Shadows,Alex North,"['Horror', 'Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Adult']"
Making Amends,D.J. Callaghan,"['Fiction', 'Drama']"
"Never Go Back (Jack Reacher, #18)",Lee Child,"['Thriller', 'Fiction', 'Mystery', 'Crime', 'Action', 'Suspense', 'Mystery Thriller']"
"Seven Deadly Wonders (Jack West Jr, #1)",Matthew Reilly,"['Thriller', 'Fiction', 'Adventure', 'Action', 'Mystery', 'Fantasy', 'Mystery Thriller']"
"Hallowe'en Party (Hercule Poirot, #41)",Agatha Christie,"['Mystery', 'Fiction', 'Crime', 'Classics', 'Mystery Thriller', 'Halloween', 'Detective']"
The American Dream & The Zoo Story,Edward Albee,"['Plays', 'Drama', 'Theatre', 'Fiction', 'Classics', 'American', 'School']"
"The Wire in the Blood (Tony Hill & Carol Jordan, #2)",Val McDermid,"['Mystery', 'Crime', 'Fiction', 'Thriller', 'Mystery Thriller', 'Suspense', 'Detective']"
Jack: Straight from the Gut,Jack Welch,"['Business', 'Biography', 'Nonfiction', 'Leadership', 'Management', 'Autobiography', 'Memoir']"
Guernica,Dave Boling,"['Historical Fiction', 'Fiction', 'Spain', 'War', 'Historical', 'Spanish Civil War', 'World War II']"
The Art of Devotion,Samantha Bruce-Benjamin,"['Fiction', 'Romance', 'Historical Fiction', 'Literary Fiction', 'Family', 'Womens Fiction', 'Contemporary']"
Airs Above the Ground,Mary  Stewart,"['Mystery', 'Fiction', 'Romance', 'Romantic Suspense', 'Suspense', 'Gothic', 'Thriller']"
"Eona: The Last Dragoneye (Eon, #2)",Alison Goodman,"['Fantasy', 'Young Adult', 'Dragons', 'Romance', 'Magic', 'Fiction', 'High Fantasy']"
A Christmas Carol / The Chimes / The Cricket on the Hearth,Charles Dickens,"['Classics', 'Fiction', 'Christmas', 'Short Stories', 'Literature', 'Fantasy', 'Victorian']"
The Ground of Union: Deification in Aquinas and Palamas,A.N. Williams,"['Religion', 'Theology', 'Christianity']"
"The Exiled Queen (Seven Realms, #2)",Cinda Williams Chima,"['Fantasy', 'Young Adult', 'Magic', 'Romance', 'Young Adult Fantasy', 'High Fantasy', 'Fiction']"
"Tsubasa: RESERVoir CHRoNiCLE, Vol. 1",CLAMP,"['Manga', 'Fantasy', 'Graphic Novels', 'Comics', 'Romance', 'Adventure', 'Young Adult']"
"Maisie Dobbs (Maisie Dobbs, #1)",Jacqueline Winspear,"['Mystery', 'Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'Historical Mystery', 'Mystery Thriller']"
"Devil in a Blue Dress (Easy Rawlins, #1)",Walter Mosley,"['Mystery', 'Fiction', 'Crime', 'Noir', 'Mystery Thriller', 'Historical Fiction', 'African American']"
Idylls of the King,Alfred Tennyson,"['Poetry', 'Classics', 'Arthurian', 'Fantasy', 'Fiction', 'Mythology', 'Historical Fiction']"
"Eon: Dragoneye Reborn (Eon, #1)",Alison Goodman,"['Fantasy', 'Young Adult', 'Dragons', 'Magic', 'Fiction', 'Young Adult Fantasy', 'High Fantasy']"
"A Song of Ice and Fire (A Song of Ice and Fire, #1-5)",George R.R. Martin,"['Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Adventure', 'Epic Fantasy', 'Novels', 'High Fantasy']"
Crush,Richard Siken,"['Poetry', 'LGBT', 'Romance', 'Contemporary', 'Gay', 'Fiction', 'Queer']"
"The Year of Secret Assignments (Ashbury/Brookfield, #2)",Jaclyn Moriarty,"['Young Adult', 'Contemporary', 'Fiction', 'Romance', 'Realistic Fiction', 'Humor', 'Teen']"
Memoirs of Dr Andrew Moonir Khan - A great Educator In Trinidad and Tobago,Brenda C. Mohammed,[]
A Dance in the Woods: A Mother's Insight,Janet K. Brennan,[]
A Timeless Abandon,Collin Pearman,[]
Reclaim Your Heart: Personal Insights on Breaking Free from Life's Shackles,Yasmin Mogahed,"['Islam', 'Nonfiction', 'Self Help', 'Religion', 'Spirituality', 'Psychology', 'Faith']"
My Place,Sally Morgan,"['Nonfiction', 'Australia', 'Biography', 'Memoir', 'Autobiography', 'History', 'Classics']"
Krabat,Otfried Preußler,"['Fantasy', 'Classics', 'German Literature', 'Fiction', 'Young Adult', 'Childrens', 'School']"
"Lover Unleashed (Black Dagger Brotherhood, #9)",J.R. Ward,"['Paranormal', 'Paranormal Romance', 'Romance', 'Vampires', 'Fantasy', 'Urban Fantasy', 'Adult']"
Phantoms in the Brain: Probing the Mysteries of the Human Mind,V.S. Ramachandran,"['Psychology', 'Science', 'Nonfiction', 'Neuroscience', 'Medicine', 'Brain', 'Medical']"
The Room,Jonas Karlsson,"['Fiction', 'Contemporary', 'Magical Realism', 'Fantasy', 'Sweden', 'Humor', 'Audiobook']"
Atemschaukel,Herta MÃ¼ller,"['Fiction', 'Historical Fiction', 'German Literature', 'Nobel Prize', 'Romania', 'Germany', 'Historical']"
Disabling Professions,Ivan Illich,"['Nonfiction', 'Philosophy', 'Sociology', 'Politics', 'Theory', 'Technology']"
The Minority Report,Philip K. Dick,"['Science Fiction', 'Fiction', 'Short Stories', 'Dystopia', 'Classics', 'Science Fiction Fantasy', 'Mystery']"
Driving in LA,Brenda Bakke,[]
"Melt (TimeBend, #1)",Ann  Denton,['Dystopia']
When Helping Hurts: How to Alleviate Poverty Without Hurting the Poor . . . and Yourself,Steve Corbett,"['Christian', 'Nonfiction', 'Social Justice', 'Christianity', 'Theology', 'Faith', 'Christian Living']"
"The Innocence of Father Brown (Father Brown, #1)",G.K. Chesterton,"['Mystery', 'Fiction', 'Classics', 'Short Stories', 'Crime', 'Detective', 'Audiobook']"
"Anne's House of Dreams (Anne of Green Gables, #5)",L.M. Montgomery,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Romance', 'Historical']"
PRAYERS & POETRY,Rashawn Johnson,[]
Superstoe,William Borden,"['Politics', 'Humor']"
"Hunting Harkonnens (Legends of Dune, #0.5)",Brian Herbert,"['Science Fiction', 'Short Stories', 'Fiction', 'Adventure', 'Science Fiction Fantasy', 'Space Opera', 'Classics']"
"End of Watch (Bill Hodges Trilogy, #3)",Stephen King,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Crime', 'Audiobook', 'Mystery Thriller']"
Translations,Brian Friel,"['Plays', 'Drama', 'Ireland', 'Theatre', 'Irish Literature', 'Historical Fiction', 'Classics']"
"Wednesday's Child (Inspector Banks, #6)",Peter Robinson,"['Mystery', 'Crime', 'Fiction', 'British Literature', 'Thriller', 'Audiobook', 'Mystery Thriller']"
Peak: Secrets from the New Science of Expertise,K. Anders Ericsson,"['Psychology', 'Nonfiction', 'Self Help', 'Science', 'Business', 'Personal Development', 'Productivity']"
Until Morning Comes,Jonathan Epps,[]
"Carpe Jugulum (Discworld, #23; Witches, #6)",Terry Pratchett,"['Fantasy', 'Fiction', 'Humor', 'Vampires', 'Comedy', 'Science Fiction Fantasy', 'Witches']"
Friday,Robert A. Heinlein,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Speculative Fiction', 'Fantasy', 'Adventure', 'Audiobook']"
"Wyn (Monstrous, #3.5)",Lily Mayne,"['Fantasy', 'M M Romance', 'Romance', 'Paranormal', 'Monsters', 'Dystopia', 'Novella']"
In Search of Excellence,Thomas J. Peters,"['Business', 'Nonfiction', 'Management', 'Leadership', 'Buisness', 'Self Help', 'Economics']"
The Great Game of Business: Unlocking the Power and Profitability of Open-Book Management,Jack Stack,"['Business', 'Management', 'Leadership', 'Nonfiction', 'Buisness', 'Entrepreneurship', 'Personal Development']"
Makers and Takers: The Rise of Finance and the Fall of American Business,Rana Foroohar,"['Economics', 'Business', 'Nonfiction', 'Finance', 'Politics', 'History', 'Money']"
Mother of Sorrows,Richard McCann,"['Fiction', 'Short Stories', 'LGBT', 'Gay', 'Anthologies', 'Queer', 'Historical Fiction']"
The Last Report on the Miracles at Little No Horse,Louise Erdrich,"['Fiction', 'Historical Fiction', 'Magical Realism', 'Historical', 'Literary Fiction', 'Novels', 'Book Club']"
"Cut to the Quick (Julian Kestrel Mysteries, #1)",Kate Ross,"['Mystery', 'Historical Fiction', 'Historical Mystery', 'Historical', 'Fiction', 'Regency', 'Mystery Thriller']"
The New Drawing on the Right Side of the Brain,Betty Edwards,"['Art', 'Nonfiction', 'Drawing', 'Reference', 'Psychology', 'Design', 'Self Help']"
Rules of Civility,Amor Towles,"['Fiction', 'Historical Fiction', 'Historical', 'New York', 'Literary Fiction', 'Audiobook', 'Book Club']"
Backlash: The Undeclared War Against American Women,Susan Faludi,"['Feminism', 'Nonfiction', 'Politics', 'History', 'Sociology', 'Gender', 'Womens']"
Flyboys: A True Story of Courage,James D. Bradley,"['History', 'Nonfiction', 'World War II', 'War', 'Military Fiction', 'Military History', 'Biography']"
A Study in Scarlet / The Hound of the Baskervilles,Arthur Conan Doyle,"['Mystery', 'Classics', 'Fiction', 'Crime', 'Detective', 'British Literature', 'Mystery Thriller']"
Life & Times of Michael K,J.M. Coetzee,"['Fiction', 'Africa', 'South Africa', 'Literature', 'Novels', 'Nobel Prize', 'Literary Fiction']"
"Princess of the Midnight Ball (The Princesses of Westfalin Trilogy, #1)",Jessica Day George,"['Fantasy', 'Young Adult', 'Romance', 'Fairy Tales', 'Retellings', 'Fiction', 'Magic']"
Better Homes and Gardens New Cook Book,Better Homes and Gardens,"['Cookbooks', 'Cooking', 'Nonfiction', 'Food', 'Reference', 'Culinary', 'Foodie']"
Kiss Kiss,Roald Dahl,"['Short Stories', 'Fiction', 'Horror', 'Classics', 'Humor', 'Fantasy', 'British Literature']"
"Ruining Me (Ruining, #1)",Nicole Reed,"['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'Abuse', 'Contemporary Romance', 'High School']"
"The Son of Sobek (Percy Jackson & Kane Chronicles Crossover, #1)",Rick Riordan,"['Fantasy', 'Mythology', 'Young Adult', 'Middle Grade', 'Short Stories', 'Fiction', 'Adventure']"
A Walk Across the Sun,Corban Addison,"['Fiction', 'India', 'Historical Fiction', 'Contemporary', 'Thriller', 'Adult Fiction', 'Book Club']"
A Stone for Benjamin,Fiona  Gold Kroll,"['Nonfiction', 'Holocaust']"
"My Life as a White Trash Zombie (White Trash Zombie, #1)",Diana Rowland,"['Zombies', 'Urban Fantasy', 'Fantasy', 'Horror', 'Paranormal', 'Fiction', 'Mystery']"
All But My Life,Gerda Weissmann Klein,"['Nonfiction', 'Holocaust', 'Memoir', 'History', 'World War II', 'Biography', 'War']"
Lean Thinking: Banish Waste and Create Wealth in Your Corporation,James P. Womack,"['Business', 'Management', 'Nonfiction', 'Leadership', 'Buisness', 'Productivity', 'Personal Development']"
"The Black Dahlia (L.A. Quartet, #1)",James Ellroy,"['Mystery', 'Fiction', 'Crime', 'Noir', 'Historical Fiction', 'True Crime', 'Thriller']"
That Frequent Visitor,K.Hari Kumar,"['Horror', 'Fiction', 'Thriller', 'Indian Literature', 'Mystery', 'Suspense', 'Romance']"
Jukebox: a stylish London crime novel,Saira Viola,['Crime']
"We'll Always Have Summer (Summer, #3)",Jenny Han,"['Romance', 'Young Adult', 'Contemporary', 'Fiction', 'Audiobook', 'Chick Lit', 'Young Adult Romance']"
"Forever Red (Bama Boys, #1)",Carina Adams,"['Romance', 'Music', 'Contemporary', 'Contemporary Romance', 'New Adult', 'Musicians', 'High School']"
"The Quantum Thief (Jean le Flambeur, #1)",Hannu Rajaniemi,"['Science Fiction', 'Fiction', 'Cyberpunk', 'Space Opera', 'Fantasy', 'Mystery', 'Science Fiction Fantasy']"
The Pieces We Keep,Kristina McMorris,"['Historical Fiction', 'Fiction', 'World War II', 'War', 'Romance', 'Contemporary', 'Historical']"
I Let You Go,Clare Mackintosh,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Crime', 'Suspense', 'Audiobook']"
How to unleash your true potential,Shivam,[]
The Suitable Inheritor,Pushpendra Mehta,['Fiction']
"Fool Moon (The Dresden Files, #2)",Jim Butcher,"['Fantasy', 'Urban Fantasy', 'Mystery', 'Fiction', 'Paranormal', 'Magic', 'Audiobook']"
Un monstruo viene a verme,Patrick Ness,"['Fantasy', 'Young Adult', 'Fiction', 'Horror', 'Middle Grade', 'Contemporary', 'Magical Realism']"
The Unconsoled,Kazuo Ishiguro,"['Fiction', 'Contemporary', 'Literary Fiction', 'Literature', 'Novels', 'Fantasy', 'British Literature']"
My Year of Rest and Relaxation,Ottessa Moshfegh,"['Fiction', 'Contemporary', 'Literary Fiction', 'Mental Health', 'Audiobook', 'Adult', 'Novels']"
The Trojan Women,Euripides,"['Plays', 'Classics', 'Drama', 'Mythology', 'Fiction', 'Theatre', 'Ancient']"
The Other Woman,Eric Jerome Dickey,"['Fiction', 'African American', 'Romance', 'Erotica', 'Drama', 'Adult Fiction', 'Audiobook']"
The Theory and Practice of Hell,Eugen Kogon,"['History', 'Holocaust', 'Nonfiction', 'World War II', 'War', 'Germany', 'Psychology']"
Mecanoscrit del segon origen,Manuel de Pedrolo,"['Science Fiction', 'Fiction', 'Dystopia', 'Classics', 'Young Adult', 'School', 'Novels']"
Where Are the Cocoa Puffs?: A Family's Journey through Bipolar Disorder,Karen Winters Schwartz,"['Mental Illness', 'Psychology', 'Nonfiction', 'Memoir', 'Family']"
"Vanish (Firelight, #2)",Sophie Jordan,"['Fantasy', 'Young Adult', 'Dragons', 'Romance', 'Paranormal', 'Paranormal Romance', 'Urban Fantasy']"
"Mortal Coil (Skulduggery Pleasant, #5)",Derek Landy,"['Fantasy', 'Young Adult', 'Urban Fantasy', 'Magic', 'Fiction', 'Mystery', 'Adventure']"
Hannah Coulter,Wendell Berry,"['Fiction', 'Historical Fiction', 'Classics', 'Novels', 'Audiobook', 'Adult Fiction', 'Literature']"
"City of Bones (Harry Bosch, #8; Harry Bosch Universe, #10)",Michael Connelly,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Detective', 'Mystery Thriller', 'Audiobook']"
Platform,Michel Houellebecq,"['Fiction', 'France', 'Novels', 'French Literature', 'Literature', 'Contemporary', '21st Century']"
Human Traces,Sebastian Faulks,"['Fiction', 'Historical Fiction', 'Historical', 'Psychology', 'Contemporary', 'Novels', 'Literary Fiction']"
"Cross Bones (Temperance Brennan, #8)",Kathy Reichs,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Murder Mystery']"
Carnal Innocence,Nora Roberts,"['Romance', 'Romantic Suspense', 'Mystery', 'Contemporary Romance', 'Suspense', 'Fiction', 'Contemporary']"
Women in Love,D.H. Lawrence,"['Classics', 'Fiction', 'Literature', 'Romance', 'Novels', 'Banned Books', '20th Century']"
"Find You in the Dark (Find You in the Dark, #1)",A. Meredith Walters,"['Romance', 'New Adult', 'Young Adult', 'Contemporary', 'Contemporary Romance', 'High School', 'Dark']"
"The Deep Blue Good-By (Travis McGee, #1)",John D. MacDonald,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Detective', 'Noir', 'Mystery Thriller']"
A Severed Head,Iris Murdoch,"['Fiction', 'Classics', 'Novels', 'British Literature', 'Literary Fiction', 'Literature', '20th Century']"
"Where the Wild Things Were: Life, Death, and Ecological Wreckage in a Land of Vanishing Predators",William Stolzenburg,"['Nonfiction', 'Science', 'Nature', 'Environment', 'Animals', 'Ecology', 'Natural History']"
"Boy: Tales of Childhood (Roald Dahl's Autobiography, #1)",Roald Dahl,"['Nonfiction', 'Biography', 'Memoir', 'Childrens', 'Autobiography', 'Classics', 'Biography Memoir']"
Amani's River,David Hartness,"['Historical Fiction', 'Fiction']"
Jamaica Inn,Daphne du Maurier,"['Classics', 'Fiction', 'Historical Fiction', 'Gothic', 'Mystery', 'Romance', 'Historical']"
Lincoln's Dreams,Connie Willis,"['Science Fiction', 'Fiction', 'Fantasy', 'Historical Fiction', 'Science Fiction Fantasy', 'Historical', 'Time Travel']"
The Tree Of Man,Patrick White,"['Fiction', 'Australia', 'Classics', 'Nobel Prize', 'Novels', 'Literature', 'Historical Fiction']"
Celebration! (The Celebration Series),Kay Moser,[]
"Star Wars: Revenge of the Sith (Star Wars Novelizations, #3)",Matthew Woodring Stover,"['Star Wars', 'Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Novels']"
The Imperfectionists,Tom Rachman,"['Fiction', 'Short Stories', 'Italy', 'Contemporary', 'Literary Fiction', 'Journalism', 'Book Club']"
"Torn (Trylle, #2)",Amanda Hocking,"['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Paranormal Romance', 'Fiction', 'Magic']"
"Switched (Trylle, #1)",Amanda Hocking,"['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Fiction', 'Urban Fantasy', 'Paranormal Romance']"
One: The Power of One Step,Kellie McNabb,"['Memoir', 'Nonfiction']"
"White Knight Dom Academy (White Knight Dom Academy, #1)",Lucian Bane,['BDSM']
Nineteen Cuts,Ringo Gene Hayden,['Fiction']
"Disowned (Allegiance, #1)",Sarah Addison-Fox,"['Fantasy', 'Young Adult', 'Christian', 'Christian Fiction', 'Dystopia', 'Romance', 'Adventure']"
The Ultimate Religion,Gillian Dance,"['Fiction', 'Thriller', 'Drama', 'Suspense', 'Mystery', 'Psychological Thriller', 'Adult Fiction']"
Skin in the Game: The Hidden Asymmetries in Daily Life,Nassim Nicholas Taleb,"['Nonfiction', 'Philosophy', 'Business', 'Economics', 'Psychology', 'Finance', 'Science']"
The Dutch House,Ann Patchett,"['Fiction', 'Historical Fiction', 'Literary Fiction', 'Contemporary', 'Historical', 'Adult', 'Adult Fiction']"
"The Naturals (The Naturals, #1)",Jennifer Lynn Barnes,"['Mystery', 'Young Adult', 'Thriller', 'Mystery Thriller', 'Contemporary', 'Crime', 'Romance']"
"The Third Option (Mitch Rapp, #4)",Vince Flynn,"['Fiction', 'Thriller', 'Espionage', 'Action', 'Mystery', 'Spy Thriller', 'Suspense']"
The Desire Map,Danielle LaPorte,"['Self Help', 'Nonfiction', 'Personal Development', 'Spirituality', 'Productivity', 'Psychology', 'Business']"
"The Poppy War (The Poppy War, #1)",R.F. Kuang,"['Fantasy', 'Fiction', 'Historical Fiction', 'Adult', 'Historical', 'High Fantasy', 'Young Adult']"
The Heart of Change: Real-Life Stories of How People Change Their Organizations,John P. Kotter,"['Business', 'Leadership', 'Nonfiction', 'Management', 'Buisness', 'Psychology', 'Education']"
"The Crossing Places (Ruth Galloway, #1)",Elly Griffiths,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'British Literature', 'Audiobook']"
"Fudge Cupcake Murder (Hannah Swensen, #5)",Joanne Fluke,"['Mystery', 'Cozy Mystery', 'Fiction', 'Audiobook', 'Mystery Thriller', 'Romance', 'Crime']"
تشي,أحمد خالد توفيق,"['Fiction', 'Novels', 'Fantasy']"
A Proper Pursuit,Lynn Austin,"['Christian Fiction', 'Historical Fiction', 'Fiction', 'Christian', 'Romance', 'Historical', 'Historical Romance']"
A Taste for Green Tangerines,Barbara Bisco,['Fiction']
The Financial Lives of the Poets,Jess Walter,"['Fiction', 'Humor', 'Contemporary', 'Novels', 'Literary Fiction', 'Adult Fiction', 'Poetry']"
"The Bull from the Sea (Theseus, #2)",Mary Renault,"['Historical Fiction', 'Fiction', 'Mythology', 'Historical', 'Greek Mythology', 'Greece', 'Fantasy']"
Spieltrieb,Juli Zeh,"['Fiction', 'German Literature', 'Contemporary', 'Germany', 'Roman', 'Novels', 'Literature']"
Revolution,Jennifer Donnelly,"['Historical Fiction', 'Young Adult', 'Historical', 'Fiction', 'Time Travel', 'Fantasy', 'Contemporary']"
What Becomes of the Broken Hearted?,Alan Duff,"['Fiction', 'Contemporary', 'Novels', 'Literature']"
"Black Order (Sigma Force, #3)",James Rollins,"['Thriller', 'Fiction', 'Adventure', 'Mystery', 'Action', 'Mystery Thriller', 'Science Fiction']"
"Spells (Wings, #2)",Aprilynne Pike,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Fairies', 'Fae', 'Magic']"
The Waste Land and Other Poems,T.S. Eliot,"['Poetry', 'Classics', 'Fiction', 'Literature', '20th Century', 'American', 'School']"
Happy Accidents: A Memoir,Jane Lynch,"['Nonfiction', 'Memoir', 'Biography', 'Humor', 'LGBT', 'Autobiography', 'Audiobook']"
Doña Bárbara,Rómulo Gallegos,"['Fiction', 'Classics', 'Spanish Literature', 'Historical Fiction', 'Magical Realism', 'Latin American Literature', 'Latin American']"
The Shadow of the Sun,Ryszard Kapuściński,"['Nonfiction', 'Africa', 'Travel', 'History', 'Journalism', 'Polish Literature', 'Memoir']"
Song to the Moon (Damnatio Memoriae #2),Laura Giebfried,[]
Μάργκινους Μόριους,Στέλιος Χαλκίτης,[]
Leaving Las Vegas,John  O'Brien,"['Fiction', 'Romance', 'Literary Fiction', 'Novels', 'Literature', 'Contemporary', 'Classics']"
Batman: Hush,Jeph Loeb,"['Comics', 'Graphic Novels', 'Batman', 'Dc Comics', 'Comic Book', 'Graphic Novels Comics', 'Fiction']"
Puslu Kıtalar Atlası,İhsan Oktay Anar,"['Turkish Literature', 'Fiction', 'Turkish', 'Roman', 'Novels', 'Fantasy', 'Historical Fiction']"
La leyenda del Rey Errante,Laura Gallego García,"['Fantasy', 'Historical Fiction', 'Fiction', 'Young Adult', 'Adventure', 'Historical', 'Middle Grade']"
"The Warded Man (The Demon Cycle, #1)",Peter V. Brett,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Magic', 'Demons', 'Adventure']"
"Raising Steam (Discworld, #40)",Terry Pratchett,"['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Audiobook', 'Science Fiction Fantasy', 'Steampunk']"
Thirteen Reasons Why,Jay Asher,"['Young Adult', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Mental Health', 'Mystery', 'Teen']"
In Desert and Wilderness,Henryk Sienkiewicz,"['Classics', 'Polish Literature', 'School', 'Fiction', 'Adventure', 'Childrens', 'Young Adult']"
"Blue Labyrinth (Pendergast, #14)",Douglas Preston,"['Mystery', 'Thriller', 'Fiction', 'Suspense', 'Mystery Thriller', 'Crime', 'Audiobook']"
"A Darkness At Sethanon (The Riftwar Saga, #4)",Raymond E. Feist,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Magic', 'Adventure']"
Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,"['Business', 'Leadership', 'Nonfiction', 'Management', 'Self Help', 'Personal Development', 'Audiobook']"
No Exit and Three Other Plays,Jean-Paul Sartre,"['Plays', 'Philosophy', 'Fiction', 'Drama', 'Classics', 'France', 'Theatre']"
"Unnatural Causes (Adam Dalgliesh, #3)",P.D. James,"['Mystery', 'Fiction', 'Crime', 'British Literature', 'Detective', 'Mystery Thriller', 'Audiobook']"
The Goblin Twins,Kit Barrie,"['Fantasy', 'M M Romance', 'LGBT']"
"The Kingmaker's Daughter (The Plantagenet and Tudor Novels, #4)",Philippa Gregory,"['Historical Fiction', 'Historical', 'Fiction', 'Romance', 'British Literature', 'Adult', 'Audiobook']"
La educación de Henry Adams,Henry Adams,"['Biography', 'History', 'Nonfiction', 'Classics', 'Memoir', 'Autobiography', 'American History']"
Kiss Me Like a Stranger: My Search for Love and Art,Gene Wilder,"['Biography', 'Nonfiction', 'Memoir', 'Autobiography', 'Humor', 'Film', 'Biography Memoir']"
A Woman's Place,Lynn Austin,"['Historical Fiction', 'Christian Fiction', 'Fiction', 'Christian', 'Historical', 'Romance', 'World War II']"
Poison in the Blood: The Memoirs of Lucrezia Borgia,M.G. Scarsbrook,"['Historical Fiction', 'Fiction', 'Italy', '15th Century', 'Historical', 'Medieval', 'Audiobook']"
Selected Poems,W.H. Auden,"['Poetry', 'Classics', 'Literature', 'Fiction', '20th Century', 'British Literature', 'School']"
And Still I Rise,Maya Angelou,"['Poetry', 'Classics', 'Feminism', 'Nonfiction', 'African American', 'Race', 'Audiobook']"
Four Quartets,T.S. Eliot,"['Poetry', 'Classics', 'Fiction', 'Literature', '20th Century', 'Philosophy', 'American']"
The Autobiography Of Howard Spring,Howard Spring,[]
"For Darkness Shows the Stars (For Darkness Shows the Stars, #1)",Diana Peterfreund,"['Young Adult', 'Dystopia', 'Romance', 'Science Fiction', 'Fantasy', 'Retellings', 'Fiction']"
"The Power of Six (Lorien Legacies, #2)",Pittacus Lore,"['Young Adult', 'Fantasy', 'Science Fiction', 'Fiction', 'Aliens', 'Adventure', 'Paranormal']"
Retribution (C.J. Townsend #1),Jilliane Hoffman,"['Thriller', 'Crime', 'Fiction', 'Mystery', 'Mystery Thriller', 'Suspense', 'Legal Thriller']"
The Feast of All Saints,Anne Rice,"['Fiction', 'Historical Fiction', 'Horror', 'Fantasy', 'Historical', 'Paranormal', 'Vampires']"
"The Boxcar Children (The Boxcar Children, #1)",Gertrude Chandler Warner,"['Childrens', 'Fiction', 'Mystery', 'Classics', 'Middle Grade', 'Young Adult', 'Chapter Books']"
