title,genre,release_date
Aliens,"Action,Thriller,Science Fiction",1986-07-18
Sunrise: A Song of Two Humans,"Drama,Romance",1927-11-04
Louis C.K.: Hilarious,Comedy,2010-01-26
1900,"Drama,History",1976-09-01
The Night of the Hunter,"Crime,Drama,Thriller",1955-08-26
About Time,"Drama,Romance,Fantasy",2013-09-04
To Be or Not to Be,"Comedy,War",1942-03-05
Guardians of the Galaxy,"Action,Science Fiction,Adventure",2014-07-30
Winter Light,Drama,1963-02-11
Return of the Jedi,"Adventure,Action,Science Fiction",1983-05-25
Amélie,"Comedy,Romance",2001-04-25
Minha Vida em Marte,"Comedy,Romance",2018-12-27
Sing Street,"Comedy,Romance,Drama,Music",2016-03-11
The Pursuit of Happyness,Drama,2006-12-14
Letter from an Unknown Woman,"Drama,Romance",1948-04-28
Roman Holiday,"Romance,Comedy,Drama",1953-08-26
You've Got This,"Romance,Comedy",2020-10-02
The Working Class Goes to Heaven,Drama,1971-09-17
Ivan's Childhood,"Drama,War",1962-05-09
The Specials,"Comedy,Drama",2019-10-23
Yi Yi,"Drama,Romance",2000-09-20
It Happened One Night,"Comedy,Romance",1934-02-22
Dancer in the Dark,"Drama,Crime",2000-06-30
La luna,"Animation,Family",2012-02-10
Heat,"Action,Crime,Drama,Thriller",1995-12-15
V for Vendetta,"Action,Thriller,Fantasy",2006-02-23
Rio Bravo,Western,1959-03-17
Sherlock: The Abominable Bride,"Crime,Drama,Mystery,TV Movie",2016-01-01
Scooby-Doo! and the Samurai Sword,"Family,Mystery,Animation,Comedy,Action,Fantasy",2009-04-07
Tokyo Godfathers,"Animation,Drama,Comedy",2003-12-29
Whiplash,"Drama,Music",2013-01-18
Bajrangi Bhaijaan,"Action,Comedy,Drama",2015-07-17
Me Before You,"Drama,Romance",2016-06-01
A Street Cat Named Bob,"Family,Drama",2016-11-04
Nostalgia,"Drama,Romance",1983-05-01
The Cure,"Drama,Family",1995-04-21
Farewell My Concubine,Drama,1993-01-01
Miraculous World: Shanghai – The Legend of Ladydragon,"Animation,Family,Adventure,Fantasy,Action,TV Movie",2021-05-15
Gone Girl,"Mystery,Thriller,Drama",2014-10-01
The Seven Deadly Sins: Cursed by Light,"Animation,Fantasy",2021-07-02
A Fistful of Dollars,Western,1964-01-18
Monsieur Verdoux,"Comedy,Crime",1947-09-26
Day for Night,"Comedy,Drama",1973-05-24
Paper Moon,"Comedy,Crime,Drama",1973-05-09
Diabolique,"Drama,Horror,Thriller",1955-01-29
Always,"Romance,Drama,Adventure",2011-10-20
See You Up There,"Drama,Crime,War",2017-10-25
La La Land,"Comedy,Drama,Romance,Music",2016-11-29
Tampopo,Comedy,1985-11-23
World of Tomorrow,"Animation,Drama,Science Fiction",2015-01-22
The Diamond Arm,"Adventure,Comedy,Crime",1968-02-02
Perfect Strangers,"Comedy,Drama",2016-02-11
Departures,Drama,2008-09-13
Fargo,"Crime,Drama,Thriller",1996-03-08
The Notebook,"Romance,Drama",2004-06-25
Solaris,"Drama,Science Fiction,Mystery",1972-03-20
Kill Bill: Vol. 2,"Action,Crime,Thriller",2004-04-16
The Theory of Everything,"Drama,Romance",2014-11-26
Umberto D.,Drama,1952-01-20
Shoplifters,Drama,2018-06-02
Titanic,"Drama,Romance",1997-11-18
Safety Last!,"Comedy,Romance,Action",1923-04-01
Joint Security Area,"War,Drama,Thriller,Action",2000-09-09
Le Samouraï,"Crime,Thriller",1967-10-25
